policy_id,policyholder_id,product,region,driver_age,risk_score,exposure,earned_premium,policy_start,claim_count,claim_amount,first_claim_date,has_open_claim,age_band,risk_band,claim_frequency,average_severity,pure_premium,loss_ratio
P0001,H001,Motor,North,24,0.72,1,820,2025-01-01,1,1250,2025-02-14,FALSE,Under 25,High,1,1250,1250,1.524390243902439
P0002,H002,Motor,South,41,0.38,1,610,2025-01-15,1,900,2025-04-02,FALSE,41-60,Low,1,900,900,1.4754098360655739
P0003,H003,Home,North,55,0.31,1,540,2025-02-01,0,0,NA,FALSE,41-60,Low,0,0,0,0
P0004,H004,Motor,West,32,0.64,0.75,690,2025-03-01,1,2200,2025-05-20,TRUE,25-40,Medium,1.3333333333333333,2200,2933.3333333333335,3.1884057971014492
P0005,H005,Travel,East,29,0.44,0.5,180,2025-03-15,0,0,NA,FALSE,25-40,Medium,0,0,0,0
P0006,H006,Home,South,67,0.58,1,760,2025-04-01,1,1750,2025-06-11,FALSE,61+,Medium,1,1750,1750,2.3026315789473686
P0007,H007,Motor,East,21,0.81,1,980,2025-04-10,1,3100,2025-07-09,TRUE,Under 25,High,1,3100,3100,3.163265306122449
P0008,H008,Home,West,48,0.27,1,500,2025-05-01,0,0,NA,FALSE,41-60,Low,0,0,0,0
P0009,H009,Motor,North,36,0.52,0.8,700,2025-05-15,1,420,2025-08-18,FALSE,25-40,Medium,1.25,420,525,0.6
P0010,H010,Travel,South,62,0.69,0.25,240,2025-06-01,0,0,NA,FALSE,61+,High,0,0,0,0
P0011,H011,Motor,West,44,0.46,1,640,2025-06-10,1,4800,2025-09-03,TRUE,41-60,Medium,1,4800,4800,7.5
P0012,H012,Home,East,39,0.35,1,560,2025-07-01,0,0,NA,FALSE,25-40,Low,0,0,0,0
